Source (A),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"@Stefano83786396 @duronronron @MarioNegriIRCCS @V_Andriukaitis Data on doctors #vaccine confidence in #Italy https://t.co/4bhP7ZD9cr",19,98.60,50.00,4.05,97.58,19.00,36.84,26.32,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,10.53,0.00,5.26,10.53,5.26,0.00,0.00,0.00,0.00,10.53,0.00,10.53,0.00,5.26,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,52.63,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.37
"How much #vaccine confidence do we have? What about our #doctors? How is the delivery of #vaccination services in the #EU organised?

New reports published today 👉https://t.co/jBKiiJEmBB 

#EUVaccines #VaccinesWork https://t.co/dADq4HDruB",38,63.17,85.38,4.05,74.74,9.50,34.21,63.16,34.21,7.89,5.26,0.00,5.26,0.00,0.00,0.00,2.63,5.26,7.89,7.89,7.89,5.26,0.00,7.89,2.63,0.00,7.89,0.00,2.63,2.63,2.63,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,7.89,0.00,5.26,0.00,0.00,2.63,0.00,0.00,0.00,0.00,0.00,2.63,0.00,2.63,0.00,0.00,10.53,5.26,2.63,5.26,2.63,0.00,0.00,10.53,0.00,10.53,2.63,2.63,5.26,10.53,0.00,0.00,0.00,0.00,0.00,5.26,0.00,5.26,0.00,0.00,0.00,39.47,5.26,0.00,0.00,0.00,7.89,0.00,0.00,0.00,0.00,0.00,26.32
"The @US_FDA has extended the indication for a quadrivalent #influenza #vaccine (#Afluria, marketed by Seqirus) to include #infants and younger #children. What does the proposal say? 

Find out here: https://t.co/OiWR65O6eI 

#FDA #Pediatrics #Afluria #InfluenzaVaccine",39,96.61,90.00,1.40,25.77,13.00,43.59,58.97,35.90,5.13,2.56,0.00,2.56,0.00,0.00,0.00,2.56,10.26,10.26,5.13,2.56,2.56,0.00,10.26,2.56,2.56,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.26,0.00,0.00,0.00,0.00,2.56,2.56,0.00,0.00,0.00,0.00,0.00,2.56,0.00,2.56,0.00,2.56,0.00,2.56,0.00,0.00,5.13,2.56,0.00,2.56,0.00,0.00,0.00,12.82,0.00,5.13,0.00,2.56,2.56,2.56,0.00,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,51.28,5.13,2.56,2.56,0.00,2.56,0.00,0.00,0.00,0.00,5.13,33.33
"Tomorrow is #WorldPolioDay 💧
Thanks to #vaccines we often forget the awful consequences of #polio &amp; #vaccine confidence is decreasing. Are we taking things for granted? 
Something not only to worry about but also act on! 💉
🔖NEW Study: https://t.co/dGrV0XUg6v
#VaccinesWork https://t.co/hIyGrGexZY",48,66.38,58.24,7.84,25.77,12.00,25.00,64.58,39.58,8.33,4.17,0.00,4.17,0.00,0.00,0.00,4.17,2.08,12.50,6.25,8.33,4.17,2.08,14.58,4.17,0.00,0.00,0.00,0.00,8.33,4.17,4.17,2.08,0.00,0.00,4.17,0.00,0.00,0.00,0.00,12.50,0.00,2.08,0.00,4.17,2.08,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.42,4.17,2.08,2.08,4.17,2.08,0.00,12.50,2.08,8.33,0.00,2.08,6.25,2.08,0.00,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,35.42,6.25,0.00,2.08,2.08,2.08,2.08,0.00,0.00,0.00,0.00,20.83
"#Polio #vaccine contamination case: Bio-Med MD gets bail, drug inspectors apologise to court. Check out @rdivia's story today for more details: https://t.co/vKlY9Q2szE via @economictimes

#india #WorldPolioDay #healthcare #HealthForAll #vaccination #vaccines",35,98.83,71.61,1.94,25.77,17.50,37.14,34.29,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,0.00,0.00,0.00,0.00,2.86,2.86,2.86,0.00,0.00,2.86,0.00,0.00,0.00,0.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.86,0.00,2.86,0.00,0.00,5.71,0.00,0.00,2.86,2.86,0.00,0.00,5.71,0.00,8.57,0.00,5.71,2.86,2.86,0.00,0.00,2.86,0.00,0.00,2.86,0.00,2.86,0.00,0.00,0.00,54.29,5.71,2.86,5.71,0.00,0.00,0.00,2.86,0.00,2.86,0.00,34.29
"#Vaccine policy update: @CDCgov’s Advisory Committee on Immunization Practices now recommends all homeless people receive the #hepatitisA vaccine. CDC is expected to send implementation guidelines to healthcare providers shortly. https://t.co/AUgjYCtqEQ",34,95.28,92.92,14.70,25.77,11.33,52.94,67.65,20.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.94,8.82,2.94,5.88,0.00,0.00,8.82,0.00,0.00,0.00,0.00,2.94,0.00,0.00,0.00,0.00,0.00,0.00,14.71,0.00,0.00,0.00,0.00,5.88,0.00,0.00,2.94,0.00,2.94,0.00,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00,8.82,0.00,2.94,5.88,0.00,0.00,0.00,11.76,2.94,17.65,5.88,5.88,8.82,11.76,5.88,0.00,0.00,0.00,0.00,2.94,0.00,2.94,0.00,0.00,0.00,29.41,8.82,0.00,2.94,0.00,0.00,0.00,0.00,0.00,2.94,0.00,14.71
Moms will do almost anything to protect their babies. So why not do something that will protect you AND your baby. Getting a #flu #vaccine during pregnancy passes critical protection on to your unborn child and lowers your risk of complications as well. https://t.co/NTKoFGKBUs https://t.co/g9qFpboDmd,53,33.62,98.77,5.35,1.00,13.25,22.64,81.13,49.06,15.09,9.43,0.00,0.00,7.55,0.00,1.89,5.66,1.89,11.32,7.55,7.55,7.55,1.89,13.21,1.89,1.89,1.89,0.00,0.00,7.55,1.89,5.66,1.89,1.89,1.89,18.87,7.55,0.00,1.89,0.00,11.32,1.89,1.89,0.00,5.66,0.00,1.89,0.00,0.00,0.00,0.00,3.77,0.00,3.77,1.89,0.00,13.21,0.00,0.00,3.77,1.89,7.55,0.00,7.55,3.77,7.55,1.89,3.77,1.89,0.00,0.00,0.00,0.00,0.00,0.00,5.66,0.00,3.77,0.00,1.89,0.00,20.75,9.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.32
"BIO-REGULATIONS: The Inactivated Polio #Vaccine, #ShanIPV, developed by @sanofipasteur's affiliate Shantha Biotechnics, has received prequalification status from the World Health Organization. https://t.co/UdiqY3YV8L via @BioVoiceNews @Sanofi @WHO @DBTIndia @ICMRDELHI",33,98.22,72.77,2.40,25.77,16.50,48.48,48.48,21.21,3.03,0.00,0.00,0.00,0.00,0.00,0.00,3.03,6.06,9.09,3.03,0.00,0.00,0.00,3.03,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,9.09,3.03,0.00,6.06,0.00,0.00,0.00,3.03,0.00,9.09,3.03,6.06,3.03,9.09,0.00,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,0.00,54.55,6.06,9.09,3.03,0.00,0.00,0.00,3.03,0.00,3.03,0.00,30.30
"BIO-REGULATIONS: The Inactivated Polio #Vaccine, #ShanIPV, developed by @sanofipasteur's affiliate Shantha Biotechnics, has received prequalification status from the World Health Organization. https://t.co/UdiqY3YV8L via @BioVoiceNews @Sanofi @WHO @DBTIndia @ICMRDELHI",33,98.22,72.77,2.40,25.77,16.50,48.48,48.48,21.21,3.03,0.00,0.00,0.00,0.00,0.00,0.00,3.03,6.06,9.09,3.03,0.00,0.00,0.00,3.03,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,9.09,3.03,0.00,6.06,0.00,0.00,0.00,3.03,0.00,9.09,3.03,6.06,3.03,9.09,0.00,0.00,0.00,0.00,0.00,3.03,0.00,3.03,0.00,0.00,0.00,54.55,6.06,9.09,3.03,0.00,0.00,0.00,3.03,0.00,3.03,0.00,30.30
Not got your #flu #vaccine yet? Wondering if you need to? Get answers by taking a look at our blog: https://t.co/G5Em5hiIpy #HelpUsHelpYou https://t.co/6pbL2vThw2,33,84.89,81.84,6.95,25.77,11.00,15.15,63.64,30.30,9.09,9.09,0.00,3.03,6.06,0.00,0.00,0.00,3.03,9.09,0.00,3.03,3.03,3.03,18.18,0.00,0.00,0.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,15.15,6.06,0.00,6.06,6.06,0.00,6.06,3.03,3.03,0.00,0.00,3.03,0.00,3.03,0.00,0.00,12.12,3.03,0.00,0.00,9.09,0.00,3.03,9.09,0.00,6.06,0.00,3.03,3.03,0.00,3.03,0.00,0.00,0.00,0.00,6.06,0.00,6.06,0.00,0.00,0.00,36.36,6.06,0.00,3.03,0.00,6.06,0.00,0.00,0.00,0.00,0.00,21.21
