"","Source..A.","Source..B.","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"1",".@DrPaulOffit's rotavirus #vaccine gives #baby bloody diarrhea - worse than what #natural rotavirus does. #Vaccines #VaccineInjury #Truth #VaccinesHarm #VaccineSafety #Parenting #BeInformed .@ZDoggMD #CrimesAgainstHumanity #CrimesAgainstChildren https://t.co/PIFW4kQ9PE","Negative",28,88.66,63.97,1,25.77,14,57.14,42.86,10.71,3.57,0,0,0,0,0,0,3.57,0,3.57,3.57,0,0,0,7.14,10.71,7.14,3.57,0,0,7.14,3.57,3.57,0,0,0,10.71,7.14,0,0,0,7.14,0,0,0,0,3.57,3.57,0,0,0,0,7.14,3.57,3.57,0,0,7.14,3.57,0,0,0,3.57,0,10.71,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,3.57,0,0,0,78.57,14.29,0,0,0,0,0,3.57,0,3.57,0,57.14
"2",".@DrPaulOffit's rotavirus #vaccine gives #baby bloody diarrhea - worse than what #natural rotavirus does. #Vaccines #VaccineInjury #Truth #VaccinesHarm #VaccineSafety #Parenting #BeInformed .@ZDoggMD #CrimesAgainstHumanity #CrimesAgainstChildren https://t.co/PIFW4kQ9PE","Negative",28,88.66,63.97,1,25.77,14,57.14,42.86,10.71,3.57,0,0,0,0,0,0,3.57,0,3.57,3.57,0,0,0,7.14,10.71,7.14,3.57,0,0,7.14,3.57,3.57,0,0,0,10.71,7.14,0,0,0,7.14,0,0,0,0,3.57,3.57,0,0,0,0,7.14,3.57,3.57,0,0,7.14,3.57,0,0,0,3.57,0,10.71,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,3.57,0,0,0,78.57,14.29,0,0,0,0,0,3.57,0,3.57,0,57.14
"3","‘If It Bleeds, It Leads’ News Media Is Terrible For #Vaccine Compliance https://t.co/gbgON4PrPk via @ACSHorg https://t.co/36MNAcjZzT","Negative",25,88.07,50,1.59,1,25,24,44,20,8,0,0,0,0,0,0,8,0,8,4,0,0,0,4,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,4,4,4,0,0,8,0,4,8,0,0,0,4,0,8,4,4,0,4,0,0,0,0,0,8,0,8,0,0,0,36,8,4,0,0,0,0,0,0,0,0,24
"4","“Last year I got the flu shot, but I got sick anyway.”
“I’m pregnant and I don’t want to risk harming my baby.”
“The vaccine doesn’t always work, so why bother?”
Dr. Mark Downing is dismantling #flushot myths @stmikeshospital https://t.co/9YEAYtQmpE","Negative",50,57.1,27.43,6.7,1,50,16,52,24,8,8,8,0,0,0,0,0,2,2,2,6,6,0,10,2,0,2,0,0,8,0,8,2,2,0,4,4,0,0,0,8,0,2,2,0,2,2,0,0,0,0,6,0,6,2,0,8,0,2,0,4,2,4,6,0,4,0,0,4,2,0,0,0,0,0,4,0,2,0,0,2,22,8,4,0,0,2,0,0,0,0,0,8
"5","“Mercury is bad for you so I’ll never get a vaccine” https://t.co/BXTndH5cDi you prefer Toxic waste in your #vaccine? #vaxxed #vaccineswork https://t.co/IFKwk6zHC5 #pregnant #baby #expecting https://t.co/85nhalwwz9","Negative",41,66.25,92.82,1,3.09,20.5,21.95,48.78,24.39,9.76,9.76,2.44,0,7.32,0,0,0,2.44,4.88,2.44,4.88,2.44,2.44,4.88,0,0,0,2.44,0,2.44,0,2.44,0,0,0,12.2,4.88,0,0,0,7.32,2.44,0,4.88,0,2.44,0,0,0,0,0,4.88,0,4.88,2.44,0,4.88,0,0,0,2.44,2.44,0,4.88,2.44,4.88,0,2.44,2.44,0,0,0,0,0,0,7.32,0,7.32,0,0,0,39.02,7.32,0,0,0,2.44,0,0,0,0,0,29.27
"6","“My sister was crippled by a #vaccine in 1984 , #CerebralPalsy, #Epilepsy and #Autism from one shot.” #Vaccines #VaccineKill #VaccineDamage #ChildrensHealth #CrimesAgainstHumanity https://t.co/6aFoiKX2rl","Negative",28,97.54,76.25,1,25.77,28,35.71,35.71,21.43,0,0,0,0,0,0,0,0,3.57,10.71,3.57,0,3.57,0,3.57,0,0,0,7.14,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,3.57,0,0,3.57,0,3.57,0,0,0,0,0,0,0,3.57,0,3.57,0,0,0,53.57,7.14,7.14,0,0,0,0,0,0,0,0,39.29
"7","“My sister was crippled by a #vaccine in 1984 , #CerebralPalsy, #Epilepsy and #Autism from one shot.” #Vaccines #VaccineKill #VaccineDamage #ChildrensHealth #CrimesAgainstHumanity https://t.co/6aFoiKX2rl","Negative",28,97.54,76.25,1,25.77,28,35.71,35.71,21.43,0,0,0,0,0,0,0,0,3.57,10.71,3.57,0,3.57,0,3.57,0,0,0,7.14,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,3.57,0,0,3.57,0,3.57,0,0,0,0,0,0,0,3.57,0,3.57,0,0,0,53.57,7.14,7.14,0,0,0,0,0,0,0,0,39.29
"8","“My sister was crippled by a #vaccine in 1984 , #CerebralPalsy, #Epilepsy and #Autism from one shot.” #Vaccines #VaccineKill #VaccineDamage #ChildrensHealth #CrimesAgainstHumanity https://t.co/6aFoiKX2rl","Negative",28,97.54,76.25,1,25.77,28,35.71,35.71,21.43,0,0,0,0,0,0,0,0,3.57,10.71,3.57,0,3.57,0,3.57,0,0,0,7.14,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,3.57,0,3.57,0,0,3.57,0,0,3.57,0,3.57,0,0,0,0,0,0,0,3.57,0,3.57,0,0,0,53.57,7.14,7.14,0,0,0,0,0,0,0,0,39.29
"9","”The AAP leadership knows very well that #vaccines cause #autism. We need not waste anymore efforts in trying to educate them; we need to indict them.” Dr David Ayoub
Many #Vaccine Ingredients Qualify for #Hazardous Waste
#ParentalRights

@potus @VP
https://t.co/BClybPql8J https://t.co/pKbBPitH1y","Negative",50,77.33,88.48,1,25.77,25,24,54,26,12,8,0,4,0,0,4,4,0,8,0,4,0,2,8,0,0,0,0,2,4,2,2,0,0,0,12,2,0,0,0,12,2,2,4,2,0,2,0,0,0,0,2,0,2,0,0,18,6,6,6,0,2,0,6,0,4,0,2,2,6,0,0,0,0,0,6,0,4,0,2,0,32,8,0,0,2,0,0,0,0,0,0,22
"10","”The AAP leadership knows very well that #vaccines cause #autism. We need not waste anymore efforts in trying to educate them; we need to indict them.” Dr David Ayoub
Many #Vaccine Ingredients Qualify for #Hazardous Waste
#ParentalRights

@potus @VP
https://t.co/BClybPql8J https://t.co/pKbBPitH1y","Negative",50,77.33,88.48,1,25.77,25,24,54,26,12,8,0,4,0,0,4,4,0,8,0,4,0,2,8,0,0,0,0,2,4,2,2,0,0,0,12,2,0,0,0,12,2,2,4,2,0,2,0,0,0,0,2,0,2,0,0,18,6,6,6,0,2,0,6,0,4,0,2,2,6,0,0,0,0,0,6,0,4,0,2,0,32,8,0,0,2,0,0,0,0,0,0,22
