"hashtag","Negative","Positive"
"1a",17,0
"a_healthier_abudhabi",0,0
"abolishcps",17,0
"acip",1.5,5
"acne",0,0
"activism",5,0
"activist",5,0
"acuteflaccidmyelitis",0,0
"adenovirus",0,0
"adhd",0.5,0
"adjuvanted",0,1
"adults",0,0.5
"adultsneedvaccinestoo",0,1
"advocate",0,1
"afluria",0,1
"afm",0,0
"aids",0,0
"allergies",1,0
"aluminum",0,0
"aluminumlake",0,0
"alzheimers",1,0
"amr",0,1
"annarbor",0,1
"anthrax",0,0
"antivaccine",0,0
"antivax",1.5,3
"antivaxx",0,1
"antivaxxerkillkids",0,0
"antivaxxerskill",0,0
"aphm2018",0,1
"aprn",0,1
"arizona",0,3
"asthma",6,1
"auspol",2,0
"australia",2,0
"australian",1,0
"autism",4,3
"autismawareness",8,0
"autistic",5,0
"autoimmunedisease",0,0
"babies",2,0
"baby",1,9
"badmedicine",0,0
"bebrave",0,0
"beinformed",1,0
"berlin",0,0
"bigpharma",1,0
"bigpharmafraud",6.5,0
"birmingham",0,1
"birth",0,9
"bootheflu",0,4
"bootoflu",0,0
"bot",0,0
"boughtoff",11,0
"braindamage",13,0
"brainhealth",3,0
"braininflammation",1,0
"breaking",1,1
"breastcancer",0,1
"bronchospasm",0,0
"brooklyn",0,1.5
"brucespringsteen",0,1
"buffalo",0,0
"california",11,0
"cancer",1,0
"cancers",0,10
"cancertreatments",1,0
"careclinic",0,0
"cbd",1,0
"ccrn",0,1
"cdc",0,5
"cdcfraud",46,0
"cdcwhistleblower",24.5,0
"cdnpoli",3.5,0
"celiac",0,0
"cerebralpalsy",2,0
"cervicalcancer",3,6
"chickenpox",0,0
"chickenpoxsurvivor",0,0
"child",25,0
"children",6,0.5
"childrenshealth",3.5,0
"childrenshealthdefense",1,0
"china",5,0
"chinese",0,0
"chmp",27,27
"choice",3.5,0
"cmv",0,0
"colds",3,0
"comfortkeepers",0,1
"confidence",0,29
"consent",2,0
"cork",3,0
"coverup",1,0
"crimeofthecentury",1,0
"crimesagainstchildren",1.5,0
"crimesagainsthumanity",2,0
"criticalcare",0,1
"cuba",0,1
"customer4life",25,0
"danish",6,0
"deathbyvaccine",1,0
"delaware",0,2
"delayed",0,0
"dementia",13,0
"dengue",27,12
"dengvaxia",0,2
"deodorant",0,0
"dna",2,0
"doctor",6,0
"doctors",0,41
"documentary",0,0
"doj",1,0
"doritreiss",0,0
"drrichardpan",1,0
"drugs",1,0
"dublin",3,0
"dyk",0,2
"ebola",0,1
"eczema",1,0
"edu",3,0
"effectiveness",0,2
"eldercare",0,0
"ema",0,0
"emergency",0,1
"encephalitis",1,0
"encephalopathy",5,0
"endautismnow",10,0
"enoughisenough",3,0
"epidemics",0,0
"epilepsy",2,0
"ethics",22,0
"eu",1,41
"eugenics",1,0
"europe",0,8
"europeanunion",0,12
"euvaccines",0,35
"evil",0,0
"experimentation",0,0
"exposed",0,0
"extremist",0,0
"facebook",0,0
"facepalm",11,0
"facts",2,0
"fail",11,0
"fakenews",2,0
"fakenewsmedia",2,0
"fallcolours",0,0
"falseflag",3,0
"families",9,0
"fascism",1,0
"fda",0,0
"fightflu",0,1
"fighttheflunj",0,2
"filipino",0,2
"firstdonoharm",8,0
"flintwatercrisis",3,0
"florida",0,2
"flu",2,2
"flucrew",0,1
"flufact",0,0
"flufighter",139,0.5
"flufighters",0,1
"flujab",5,8
"flujabs",0,1
"flukills",0,43
"flumist",0,0
"fluoride",0,0
"flupreventionweek",0,3
"fluseason",0,1
"flushot",4,1
"flushotfriday",0,1
"flushothero",1,0
"flushots",10,0
"flushotscam",19.5,0
"flushotselfiedal",0,3
"flutip",0,1
"fluvaccine",2,0
"fluvax",0,0
"fluvaxaccess",0,0
"followthemoney",25,0
"forjudeforeveryone",0,2
"frankensteintech",2,0
"fraud",2.5,0
"fraudmakesvaccineswork",2,0
"free",0,1
"freedom",17,0
"freedomtothrive",3,0
"freethought",1,0
"fridaymotivation",1,0
"gardasil",1,10
"gbs",1,0
"geoengineering",13,0
"germany",0,0
"getimmunized",0,1
"getvaccinated",0,1
"girls",0,0
"givemeashotmoms",0,0
"givemeashotms",0,0
"globalhealth",0,5
"goodnews",1,0
"graphicmedicine",0,592
"greatawakening",3,0
"guillainbarre",4,0
"halloween",0,0
"hcsm",0,1.5
"health",3,0
"health4sale",16.5,0
"healthcare",2,0
"healthcareprovider",0,1
"healthfreedom",8,0
"healthnews",0,1
"healthrisks",2,0
"healthylv",0,0
"healthysouthernnevada",0,0.5
"heartattack",0,0
"hearthiswell",0.5,0
"hearus",1.5,0
"helpushelpyou",0,31
"hepatitis",0,1
"hepatitisa",0,2
"hepatitisb",4.5,0
"hepb",1,0
"hhs",11,0
"hispanicheritagemonth",0,2
"history",0,0
"hiv",0,0
"homeless",0,2
"hookworms",0,10
"hoosierherd",0,1
"hoosiersvaccinate",0,1
"hospitalization",0,1
"hottopicsinpractice",0,2
"houston",0,0
"hpv",0,0
"hpvmum",1,0
"hpvvaccine",3,0
"humanexperimentation",1,0
"humanrights",2.5,0
"hvp",0,0
"ibd",1,0
"ibs",1,0
"idweek2018",0,0
"iipw",0,2
"iipw2018",0,3
"immunity",1,0
"immunization",0,0.5
"immunizations",0,0.5
"inabudhabi",0,2
"indiana",0,1
"infectioncontrol",0,2
"infectionpreventionweek",0,2
"infectiousdisease",0,0
